T,Z
8.0,8.55
2.0,8.66
3.20000005,8.73
7.9000001,8.43
8.10000038,8.51
4.0,8.5
5.30000019,8.69
2.9000001,8.72
6.5999999,8.73
1.10000002,8.75
6.5,8.34
5.9000001,8.75
2.0,8.71
7.9000001,8.85
6.0,8.69
9.69999981,8.48
3.0,8.75
1.0,8.51
1.10000002,8.43
-2.0,8.77
5.19999981,8.78
6.5999999,8.48
3.0999999,8.71
6.5,8.58
6.69999981,8.28
3.70000005,8.91
2.0,8.73
2.5,8.7
0.0,8.76
5.30000019,8.75
-3.20000005,8.69
3.0999999,8.68
5.80000019,8.72
6.80000019,8.29
1.0,8.83
5.0999999,8.81
1.60000002,8.82
2.9000001,8.84
1.60000002,8.84
9.69999981,8.62
3.0,8.73
-0.100000001,8.74
1.0,8.71
2.0,8.65
7.9000001,8.59
5.69999981,8.65
2.0,8.83
5.80000019,8.56
0.0,8.69
7.9000001,8.76
-1.89999998,8.67
3.0999999,8.76
5.69999981,8.7
-2.0,8.54
8.0,8.43
4.9000001,8.71
5.80000019,8.77
5.9000001,8.69
8.10000038,8.44
0.899999976,8.78
4.9000001,8.6
2.0,8.74
8.0,8.61
4.0999999,8.5
4.0,8.72
5.9000001,8.59
3.0999999,8.63
3.0999999,8.69
2.0,8.71
-0.200000003,8.76
4.0,8.65
6.5,8.71
1.0,8.79
2.0,8.69
-4.80000019,8.46
5.9000001,8.77
6.4000001,8.74
-1.89999998,8.57
5.9000001,8.47
4.0,8.68
6.0,8.54
3.0,8.74
-2.0999999,8.62
6.0999999,8.65
2.4000001,8.66
5.9000001,8.5
2.20000005,8.88
6.0,8.67
6.0999999,8.49
2.0,8.62
3.0999999,8.65
9.80000019,8.61
5.9000001,8.61
4.0,8.76
3.29999995,8.84
4.0,8.61
2.0,8.55
-4.80000019,8.75
4.0999999,8.62
3.0999999,8.67
-2.20000005,8.82
7.80000019,8.83
8.0,8.51
7.9000001,8.34
5.9000001,8.6
4.0999999,8.75
7.9000001,8.26
5.80000019,8.46
5.19999981,8.73
7.9000001,8.5
2.0,8.82
5.9000001,8.68
2.0,8.72
6.4000001,8.71
5.9000001,8.75
9.80000019,8.44
0.899999976,8.61
1.60000002,8.74
2.0,8.75
-4.9000001,8.7
6.0999999,8.42
5.30000019,8.79
-2.0999999,8.76
-2.0999999,8.3
-2.0999999,8.59
6.0999999,8.58
5.9000001,8.5
2.0999999,8.7
6.5,8.46
6.0,8.45
3.20000005,8.71
3.0,8.63
1.10000002,8.66
4.0999999,8.62
-1.89999998,8.66
8.0,8.5
3.0999999,8.82
3.0999999,8.7
2.0,8.74
3.70000005,8.74
1.0,8.54
3.9000001,8.72
5.9000001,8.68
5.9000001,8.69
1.70000005,8.76
2.0,8.58
1.0,8.59
8.0,8.51
5.4000001,8.7
6.0,8.47
8.0,8.43
5.69999981,8.7
3.0999999,8.71
3.0999999,8.84
1.0,8.62
3.20000005,8.74
9.80000019,8.61
3.5999999,8.75
-2.0,8.73
2.0999999,8.66
-2.0,8.76
2.0999999,8.74
6.4000001,8.62
1.89999998,8.69
3.0999999,8.74
2.0,8.71
1.10000002,8.67
4.0,8.77
-1.89999998,8.59
-4.80000019,8.67
-4.80000019,8.58
6.5,8.49
5.9000001,8.72
7.80000019,8.74
4.0,8.69
1.10000002,8.83
1.0,8.7
5.30000019,8.75
9.80000019,8.52
1.60000002,8.74
5.9000001,8.62
5.0,8.72
6.0,8.61
2.20000005,8.79
-1.89999998,8.76
5.9000001,8.58
5.5999999,8.64
3.0999999,8.74
5.5999999,8.49
3.0999999,8.83
4.0,8.67
6.0,8.49
3.0999999,8.78
5.69999981,8.69
5.80000019,8.75
6.4000001,8.54
1.20000005,8.75
5.9000001,8.6
8.0,8.6
6.5999999,8.57
6.5,8.26
1.79999995,8.64
3.9000001,8.74
5.80000019,8.6
2.9000001,8.65
5.19999981,8.84
6.0,8.69
1.89999998,8.67
-2.0999999,8.62
6.0999999,8.71
0.100000001,8.83
-2.0999999,8.76
5.0,8.86
6.0,8.78
5.9000001,8.35
3.0,8.82
3.0,8.72
8.0,8.63
8.0,8.49
3.29999995,8.64
-3.20000005,8.51
9.80000019,8.51
8.10000038,8.2
3.0999999,8.74
1.10000002,8.66
1.0,8.72
6.30000019,8.33
3.20000005,8.66
8.10000038,8.73
-0.100000001,8.64
3.0,8.72
-2.0,8.82
6.0999999,8.54
2.0,8.7
5.0,8.66
5.9000001,8.5
5.9000001,8.72
0.0,8.65
6.5999999,8.67
-4.9000001,8.54
-0.100000001,8.63
4.0999999,8.86
3.0,8.81
1.0,8.62
5.0,8.83
4.0999999,8.55
3.29999995,8.61
3.0,8.64
4.0,8.63
3.0999999,8.7
4.0,8.52
-4.69999981,8.74
2.0,8.73
8.80000019,8.47
2.0,8.71
6.0,8.76
3.70000005,8.47
6.0,8.33
5.9000001,8.66
2.0,8.68
-4.9000001,8.74
3.0999999,8.63
3.0,8.61
5.80000019,8.65
6.0,8.51
1.0,8.88
-2.29999995,8.79
-2.0,8.4
3.0999999,8.73
6.5999999,8.44
5.80000019,8.72
3.20000005,8.79
5.19999981,8.66
2.0,8.68
1.0,8.44
5.9000001,8.68
1.0,8.65
4.0,8.82
1.10000002,8.62
4.0,8.79
2.0,8.69
3.0,8.63
-0.100000001,8.7
3.79999995,8.55
-4.0,8.59
5.80000019,8.73
4.0,8.64
4.0,8.74
7.9000001,8.62
6.5999999,8.52
7.80000019,8.07
7.80000019,8.56
8.80000019,8.57
3.29999995,8.68
5.80000019,8.69
5.4000001,8.65
2.29999995,8.65
-2.0,8.78
6.0999999,8.51
0.100000001,8.68
-4.9000001,8.88
-1.89999998,8.57
4.0999999,8.76
-0.699999988,8.75
5.80000019,8.75
4.0999999,8.35
2.20000005,8.67
5.80000019,8.79
5.0999999,8.56
-1.79999995,8.67
4.4000001,8.79
3.0,8.78
2.0999999,8.7
3.0999999,8.52
3.20000005,8.75
7.9000001,8.6
4.0,8.73
5.0,8.85
1.5,8.72
9.89999962,8.37
-5.0,8.78
2.9000001,8.76
2.0999999,8.83
3.0999999,8.85
3.0,8.79
6.0,8.58
3.9000001,8.67
-4.5,8.71
5.69999981,8.56
2.0,8.69
-1.89999998,8.81
1.0,8.72
-2.29999995,8.72
5.30000019,8.83
2.0,8.69
-3.79999995,8.75
5.19999981,8.59
6.0,8.75
-1.89999998,8.26
4.0,8.76
9.89999962,8.39
1.5,8.66
5.80000019,8.63
6.0999999,8.65
-3.9000001,8.69
5.19999981,8.69
1.10000002,8.68
2.0999999,8.72
-4.0,8.54
-3.0999999,8.72
