# ID,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,NII_6548_FLUX,NII_6548_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6717_FLUX,SII_6717_FLUX_ERR,AGN,COMPOSITE
49280,39.81022,4.417857,43.368465,5.367085,78.435936,2.5654113,224.81407,7.600363,236.58089,7.7378645,55.35213,6.365558,false,true
49747,65.930664,6.1761594,131.1679,6.9391713,94.70307,3.4797063,243.70172,9.883247,285.64633,10.495586,100.10791,8.9774475,false,true
49950,482.3317,10.181068,601.5623,11.763352,587.66614,6.4067974,2440.6685,24.583027,1772.5369,19.324358,447.24973,12.935837,false,true
50502,53.73455,10.027661,63.71608,9.75991,59.276505,4.6070395,108.40743,13.893013,178.79163,13.89588,52.62548,11.673227,false,true
50578,32.633354,4.684631,52.031693,5.022228,31.786654,2.1148984,92.21608,6.893983,95.875885,6.379015,60.858593,6.271099,false,true
50564,41.814312,15.687127,38.276356,15.673972,9.5187845,9.110335,10.400024,28.173111,28.710854,27.478846,-19.012512,30.85361,false,true
50881,394.2098,6.7332516,144.1817,5.3505487,322.40106,3.2757685,2124.5889,18.14611,972.436,9.880464,408.62668,7.4556375,false,true
50952,54.499798,3.0470793,12.255887,2.4709828,26.279394,0.8885192,224.30211,3.7212443,79.264725,2.679976,45.79652,2.566677,false,true
50925,5.803528,1.4495268,16.304317,1.6704414,1.2945867,0.3034489,31.880695,1.4579196,3.9047718,0.9152709,9.263694,1.1011444,false,true
51065,18.846422,2.094194,6.6368155,2.1154625,6.1868587,0.6998032,49.84314,2.2899525,18.660994,2.1107657,9.794451,2.2685978,false,true
51084,256.4291,22.975292,208.17296,15.74928,282.8016,10.643638,972.5276,43.3419,852.9949,32.103634,391.40576,24.863827,false,true
51814,3179.7346,26.341164,606.64594,10.07186,1893.1556,12.4882145,14575.737,95.882164,5710.1943,37.667297,1570.0872,16.052258,false,true
51803,22.204563,1.9226669,71.89,2.5763073,2.1964045,0.44288135,71.57279,2.1970618,6.624863,1.335831,18.046726,1.3404372,false,true
51928,51.09866,3.6100376,42.386707,4.149534,123.74401,2.2985997,458.47824,7.4108396,373.2405,6.9331,95.00528,5.121616,false,true
52052,19.206518,2.9531941,30.75059,3.6264193,23.231365,1.48934,81.58161,4.203897,70.07116,4.4921885,37.465416,4.214596,false,true
52592,381.39667,5.1876526,67.84635,3.3570719,281.66113,2.2499146,2124.055,16.354622,849.55505,6.7862544,303.9684,4.7227936,false,true
52685,554.7065,6.3827505,210.99553,4.5415463,279.5773,2.4385898,2520.5012,17.555273,843.26965,7.3553424,468.23358,5.7891555,false,true
52939,184.63158,4.6982026,70.45683,3.7579315,186.37502,1.920848,1057.6458,8.595077,562.1501,5.793715,143.01447,3.9973125,false,true
53245,134.34868,4.6624556,38.778027,4.302878,87.250854,1.9934967,683.9139,8.654781,263.16873,6.01284,90.9374,5.0554047,false,true
53433,411.81393,6.9483166,125.50547,5.1086593,244.88545,2.7700033,2022.3958,17.632555,738.6311,8.35496,242.97241,5.775984,false,true
53587,90.573135,2.44719,13.96188,1.9303393,45.05264,0.7710811,468.04633,4.094732,135.88916,2.325756,73.96944,1.934778,false,true
53862,19.780344,10.330395,12.077036,9.462252,5.719367,3.4586465,54.052208,11.718068,17.25093,10.432065,0.4744333,11.625268,false,true
54021,151.28697,10.983597,285.22543,13.0283165,80.282646,5.115247,414.09216,17.500746,242.15099,15.428748,93.71603,14.001395,false,true
54208,184.28424,5.1367974,56.7603,4.5244107,147.80862,2.0061316,914.32513,8.777371,445.82492,6.0509496,140.93701,4.576537,false,true
54507,9.93608,4.2082024,9.064237,5.2643595,15.499544,2.1934462,38.40155,5.5277686,46.750206,6.6159325,15.307229,6.0401735,false,true
54508,6.5802155,2.2768214,-2.7923331,6.750435,3.212498,2.1460748,8.300856,2.0362449,9.689635,6.4730506,9.194317,10.198781,false,true
54521,24.980583,6.0945644,28.344233,7.9763064,21.993221,3.3517146,75.175255,8.999057,66.33663,10.109534,10.028235,10.34444,false,true
54528,11.441181,4.165011,0.64932984,2.6017222,0.7721267,0.8741359,10.742838,4.0660224,2.3289125,2.6365929,-4.387611,2.751841,false,true
54550,11.18377,7.0064945,12.3538685,9.733511,3.2169,3.7262657,26.590624,9.10704,9.702913,11.239265,-6.8003235,12.348717,false,true
54812,39.280964,5.1303496,19.065453,5.10673,31.576977,2.461494,135.6262,7.5698066,95.24345,7.424426,22.541933,5.9133687,false,true
54896,58.304623,7.6954846,35.707695,7.4059725,31.172213,4.027054,195.02756,13.550765,94.02258,12.14651,37.92524,9.560802,false,true
54935,50.02278,11.96842,10.451837,6.0571833,-0.41416803,2.195701,34.630856,12.907229,-1.2492263,6.6227336,-1.9861227,7.0359945,false,true
55742,48.129765,13.630951,57.627014,13.688265,18.218641,7.368992,21.241867,22.794405,54.95163,22.226557,14.148597,25.34156,false,true
55743,54.784824,11.677279,52.024338,11.870912,21.063808,6.90074,44.331657,21.570927,63.533306,20.814203,0.5678607,20.390938,false,true
56249,-6.3305063,11.388558,15.401005,8.210954,10.492882,3.9690893,33.43182,16.073555,31.648952,11.971678,2.4679432,10.365896,false,true
56619,60.151634,8.523237,114.37454,9.663131,128.95044,4.816406,249.10037,13.891494,388.94427,14.527375,160.53513,12.926919,false,true
56784,42.16876,9.717026,18.459227,9.845467,5.1725426,6.4419427,30.08625,20.3628,15.6015835,19.430365,-18.623877,15.676094,false,true
56821,13.413122,4.632595,41.124832,7.178862,11.852093,2.4750385,44.24432,6.052804,35.74865,7.4652796,14.873974,7.305569,false,true
56972,25.638447,10.07888,10.237053,5.2015376,0.1661543,2.035926,48.79292,12.219989,0.5011597,6.1408167,-4.961974,5.9035654,false,true
57421,-2.7648902,5.089372,35.336143,12.880738,7.368607,4.89769,18.662027,6.827448,22.225422,14.772548,-22.50364,15.8197775,false,true
57734,35.812496,5.519616,59.839558,5.722467,52.902493,2.6557984,108.695724,8.17012,159.56613,8.010492,48.971413,6.963077,false,true
58287,89.47565,9.076234,111.381836,8.341419,86.62769,3.9675398,222.21219,13.6461115,261.28912,11.967004,122.31481,10.501187,false,true
58261,40.858326,10.674059,21.836617,14.8892565,22.078419,6.152093,46.720596,14.3825035,66.593605,18.556112,-9.335681,24.013628,false,true
58314,2.0451255,3.382792,3.1372871,3.275359,0.07753299,1.0120022,16.141043,3.987736,0.23385741,3.052429,-3.0451126,3.1315615,false,true
58325,39.479015,14.423533,43.101135,14.379114,9.679948,5.972549,12.532269,19.430073,29.196955,18.014566,-3.385521,20.064022,false,true
59714,268.2527,6.3167777,56.452976,5.530445,240.59344,3.3116794,1380.3562,13.334523,725.68536,9.988779,204.86606,7.0189433,false,true
59945,39.46688,15.814535,22.67283,16.047743,-15.336358,14.107068,150.35535,45.535347,-46.257996,42.55013,-45.641148,27.618107,false,true
59946,94.22858,7.2645125,126.0215,7.292898,105.50984,3.6166043,305.5078,12.158559,318.24203,10.908502,173.6763,10.243048,false,true
71883,89.29368,12.91428,188.13719,17.529297,91.184715,8.251229,297.9095,22.82457,275.03415,24.887587,119.612236,23.009115,false,true
71926,4.631603,1.1962686,1.5305581,1.0539168,0.590254,0.2519772,10.190522,1.0316865,1.7803423,0.7600206,4.887199,0.8625402,false,true
72243,13.56956,2.7579932,31.226353,4.005286,18.418234,1.5677149,44.989883,3.6669757,55.553642,4.728585,12.222,4.6808424,false,true
73843,29.33239,9.178565,19.932367,9.291554,7.681058,4.286677,43.868378,13.159243,23.167845,12.929592,-16.410524,14.537802,false,true
73856,85.07448,3.5774977,29.384745,3.4171662,67.167336,1.5980295,466.15378,6.2423353,202.5922,4.8200207,47.78552,3.451352,false,true
73857,57.31172,11.10119,46.536747,10.119526,17.7286,4.778178,49.410778,16.831858,53.473545,14.412072,15.300279,13.454283,false,true
73865,48.112003,2.0553129,11.532635,1.8560483,29.690704,0.8777755,275.2602,3.7140465,89.554016,2.6475706,55.766716,2.229895,false,true
82353,89.55275,2.5500104,70.639244,2.4101517,24.360004,0.6348708,314.66724,3.7802012,73.475395,1.914915,76.869446,2.1114535,false,true
83458,19.113712,7.9252825,15.588806,11.969326,3.494987,4.4794602,23.944971,9.517909,10.541688,13.511073,-12.259919,18.659224,false,true
84450,77.18232,11.138697,85.18706,9.602659,45.51622,4.707119,193.7999,16.942108,137.28743,14.1977415,21.800102,11.67397,false,true
84599,20.340046,11.23576,17.125837,11.294837,20.200651,5.7380066,19.90357,17.780336,60.92983,17.307133,-39.469463,21.838406,false,true
84605,510.0317,6.849288,258.1519,5.5558963,231.50667,2.4334605,2098.5142,16.830406,698.2776,7.3398705,303.9062,5.465301,false,true
84607,26.168797,6.0808296,31.558119,7.1042633,25.557722,3.2366467,62.35062,8.653296,77.08798,9.762463,-3.6334841,8.742452,false,true
86299,37.936077,7.560825,24.67578,8.310224,21.734312,3.6598911,64.2021,9.917505,65.5557,11.039063,7.390248,9.7163105,false,true
90091,209.43007,3.464492,65.085236,2.9037445,235.0624,2.1068032,1424.6112,11.267645,709.0025,6.354598,223.55122,4.46284,false,true
91366,17.105885,1.8656437,27.324875,2.2277532,12.36381,0.64474857,80.39024,2.2815259,37.292107,1.9447085,22.329618,1.9352255,false,true
93473,2.1050498,9.173684,13.441334,8.571903,10.059858,3.918571,50.557262,12.774276,30.342855,11.819303,9.728972,11.686517,false,true
94757,50.778355,12.266536,42.47448,12.328511,7.9630265,6.1118813,16.501781,18.610191,24.018326,18.434826,-24.169472,20.51842,false,true
95565,62.63046,7.9633403,42.220394,7.812355,31.704718,3.6754746,124.370895,11.353878,95.628746,11.086068,27.073122,9.490922,false,true
99838,171.37474,4.21996,516.3364,7.142832,123.45474,1.6129477,609.9469,6.600461,372.36798,4.8650174,113.64793,3.3574483,false,true
142858,364.13898,4.6919055,1067.1093,10.122922,25.22967,0.5370429,1176.5736,10.464502,76.09851,1.6198436,148.5477,2.945814,false,true
160387,15.93324,3.7000396,3.7728324,7.6085715,4.3475704,2.5295982,14.194914,3.7570462,13.1132765,7.6298437,-6.6854053,10.205433,false,true
165108,13.592898,1.7444031,11.85665,1.7827808,1.3981439,0.37748858,29.446226,1.5854129,4.217125,1.1385915,10.105365,1.3099083,false,true
165192,23.787786,4.574876,40.296196,5.4145527,33.423416,2.2486186,83.3693,6.261106,100.812744,6.7823462,51.263317,6.475457,false,true
165598,368.1549,5.2249174,207.78943,4.3758388,247.87892,2.233072,2092.6401,16.919395,747.66003,6.7354536,363.438,5.3012657,false,true
174846,21.595474,7.8767366,11.243948,10.0465975,1.5459309,4.237183,32.376507,10.452312,4.662884,12.780309,-7.3028026,16.439981,false,true
200239,193.1074,11.909551,207.42876,11.786638,247.15625,7.034145,586.3964,21.604595,745.48035,21.216581,360.98276,17.96677,false,true
214240,97.28672,19.871107,83.47974,20.013874,10.30267,11.982878,62.879025,38.48131,31.07523,36.14309,16.454985,35.001877,false,true
